OBJECTID,Identifier,Occurrence Date,Day of Week,Occurrence Month,Occurrence Day,Occurrence Year,Occurrence Hour,CompStat Month,CompStat Day,CompStat Year,Offense,Offense Classification,Sector,Precinct,Borough,Jurisdiction,XCoordinate,YCoordinate,Location 1
11,987726177,01/01/2015 02:51:00 AM,Thursday,Jan,1,2015,0200,Jan,1,2015,MURDER,FELONY,E,040,Bronx,NYPD-HOUSING BUREAU,1009770,236752,"(40.816476633, -73.90780368)"
12,987726176,01/01/2015 07:23:00 AM,Thursday,Jan,1,2015,0700,Jan,1,2015,MURDER,FELONY,C,045,Bronx,NYPD,1034500,240449,"(40.8265177810001, -73.818432502)"
13,987726179,01/02/2015 02:33:00 AM,Friday,Jan,2,2015,0200,Jan,2,2015,MURDER,FELONY,F,107,Queens,NYPD-HOUSING BUREAU,1035990,205367,"(40.7302185550001, -73.813318825)"
14,987726186,01/02/2015 07:28:00 PM,Friday,Jan,2,2015,1900,Jan,2,2015,MURDER,FELONY,B,023,Manhattan,NYPD-HOUSING BUREAU,999132,225422,"(40.7854032070001, -73.9462613749999)"
15,987726188,01/03/2015 07:38:00 PM,Saturday,Jan,3,2015,1900,Jan,3,2015,MURDER,FELONY,A,075,Brooklyn,NYPD,1012360,185943,"(40.6770109220001, -73.898658982)"
16,987726185,01/04/2015 03:00:00 PM,Sunday,Jan,4,2015,1500,Jan,4,2015,MURDER,FELONY,F,017,Manhattan,NYPD,994064,213844,"(40.7536316860001, -73.964579225)"
17,987726194,01/06/2015 07:34:00 PM,Tuesday,Jan,6,2015,1900,Jan,6,2015,MURDER,FELONY,E,063,Brooklyn,NYPD,1006180,167872,"(40.6274274410001, -73.920997923)"
18,987726196,01/06/2015 10:05:00 PM,Tuesday,Jan,6,2015,2200,Jan,6,2015,MURDER,FELONY,M,106,Queens,NYPD,1036650,181427,"(40.664505085, -73.811123736)"
19,987726201,01/08/2015 05:30:00 PM,Thursday,Jan,8,2015,1700,Jan,8,2015,MURDER,FELONY,E,077,Brooklyn,NYPD,999271,185194,"(40.6749869720001, -73.945849231)"
20,987726208,01/10/2015 02:25:00 AM,Saturday,Jan,10,2015,0200,Jan,10,2015,MURDER,FELONY,C,101,Queens,NYPD,1053200,161155,"(40.6087495640001, -73.751676082)"
21,987726209,01/11/2015 01:05:00 PM,Sunday,Jan,11,2015,1300,Jan,11,2015,MURDER,FELONY,H,063,Brooklyn,NYPD,1005737,169981,"(40.633217286, -73.92258713)"
22,987726215,01/12/2015 10:06:00 AM,Monday,Jan,12,2015,1000,Jan,12,2015,MURDER,FELONY,D,067,Brooklyn,NYPD,999390,172259,"(40.639483032, -73.9454492639999)"
23,987726219,01/12/2015 03:28:00 PM,Monday,Jan,12,2015,1500,Jan,12,2015,MURDER,FELONY,P,114,Queens,NYPD,1004880,220826,"(40.7727768560001, -73.925519013)"
24,987726220,01/12/2015 10:20:00 PM,Monday,Jan,12,2015,2200,Jan,12,2015,MURDER,FELONY,D,040,Bronx,NYPD,1010840,236282,"(40.8151834600001, -73.903939887)"
25,987726239,01/16/2015 06:54:00 PM,Friday,Jan,16,2015,1800,Jan,16,2015,MURDER,FELONY,G,046,Bronx,NYPD,1011260,251004,"(40.855589803, -73.902363275)"
26,987726467,01/17/2015 05:11:00 PM,Saturday,Jan,17,2015,1700,Jan,17,2015,MURDER,FELONY,M,019,Manhattan,NYPD-HOUSING BUREAU,994276,218779,"(40.76717676, -73.963806683)"
27,987726238,01/18/2015 11:17:00 AM,Sunday,Jan,18,2015,1100,Jan,18,2015,MURDER,FELONY,B,100,Queens,NYPD,1037000,154717,"(40.5911898410001, -73.8100708969999)"
28,987726247,01/20/2015 08:02:00 AM,Tuesday,Jan,20,2015,0800,Jan,20,2015,MURDER,FELONY,B,100,Queens,NYPD,1037776,153560,"(40.5880094620001, -73.807286023)"
