date,origin
12/31/2014,chicago
1/3/2015,chicago
1/5/2015,chicago
1/6/2015,chicago
1/6/2015,chicago
1/6/2015,chicago
1/8/2015,chicago
1/9/2015,chicago
1/10/2015,chicago
1/13/2015,chicago
1/13/2015,chicago
1/14/2015,chicago
1/16/2015,chicago
1/17/2015,chicago
1/17/2015,chicago
1/18/2015,chicago
1/20/2015,chicago
1/21/2015,chicago
1/21/2015,chicago
1/21/2015,chicago
1/23/2015,chicago
1/23/2015,chicago
1/24/2015,chicago
1/27/2015,chicago
1/27/2015,chicago
1/29/2015,chicago
1/29/2015,chicago
1/30/2015,chicago
1/30/2015,chicago
1/31/2015,chicago
2/1/2015,chicago
2/2/2015,chicago
2/2/2015,chicago
2/4/2015,chicago
2/5/2015,chicago
2/8/2015,chicago
2/8/2015,chicago
2/9/2015,chicago
2/9/2015,chicago
2/9/2015,chicago
2/10/2015,chicago
2/10/2015,chicago
2/15/2015,chicago
2/20/2015,chicago
2/20/2015,chicago
2/21/2015,chicago
2/22/2015,chicago
2/25/2015,chicago
2/25/2015,chicago
2/25/2015,chicago
3/2/2015,chicago
3/7/2015,chicago
3/7/2015,chicago
3/7/2015,chicago
3/8/2015,chicago
3/8/2015,chicago
3/9/2015,chicago
3/9/2015,chicago
3/9/2015,chicago
3/9/2015,chicago
3/15/2015,chicago
3/15/2015,chicago
3/15/2015,chicago
3/15/2015,chicago
3/16/2015,chicago
3/16/2015,chicago
3/19/2015,chicago
3/19/2015,chicago
3/19/2015,chicago
3/19/2015,chicago
3/20/2015,chicago
3/21/2015,chicago
3/22/2015,chicago
3/22/2015,chicago
3/22/2015,chicago
3/24/2015,chicago
3/25/2015,chicago
3/26/2015,chicago
3/27/2015,chicago
3/28/2015,chicago
3/29/2015,chicago
3/30/2015,chicago
3/31/2015,chicago
3/31/2015,chicago
4/1/2015,chicago
4/2/2015,chicago
4/2/2015,chicago
4/2/2015,chicago
4/3/2015,chicago
4/3/2015,chicago
4/3/2015,chicago
4/4/2015,chicago
4/4/2015,chicago
4/8/2015,chicago
4/8/2015,chicago
4/8/2015,chicago
4/10/2015,chicago
4/11/2015,chicago
4/15/2015,chicago
4/15/2015,chicago
4/18/2015,chicago
4/18/2015,chicago
4/19/2015,chicago
4/19/2015,chicago
4/19/2015,chicago
4/20/2015,chicago
4/20/2015,chicago
4/21/2015,chicago
4/21/2015,chicago
4/21/2015,chicago
4/23/2015,chicago
4/24/2015,chicago
4/24/2015,chicago
4/25/2015,chicago
4/26/2015,chicago
4/26/2015,chicago
4/28/2015,chicago
4/29/2015,chicago
4/29/2015,chicago
4/30/2015,chicago
5/1/2015,chicago
5/1/2015,chicago
5/1/2015,chicago
5/1/2015,chicago
5/1/2015,chicago
5/3/2015,chicago
5/5/2015,chicago
5/7/2015,chicago
5/7/2015,chicago
5/9/2015,chicago
5/10/2015,chicago
5/10/2015,chicago
5/10/2015,chicago
5/11/2015,chicago
5/13/2015,chicago
5/13/2015,chicago
5/14/2015,chicago
