ID,Case Number,Date,Block,IUCR,Primary Type,Description,Location Description,Arrest,Domestic,Beat,District,Ward,Community Area,FBI Code,X Coordinate,Y Coordinate,Year,Updated On,Latitude,Longitude,Location
21713,HX560876,12/31/2014 02:55:00 PM,080XX S STONY ISLAND AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0411,004,8,45,01A,1188211,1851967,2014,08/17/2015 03:03:40 PM,41.748875144,-87.585894137,"(41.748875144, -87.585894137)"
21714,HY102349,01/03/2015 05:50:00 AM,050XX W SUPERIOR ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,1531,015,28,25,01A,1142667,1904504,2015,08/17/2015 03:03:40 PM,41.894009145,-87.751482327,"(41.894009145, -87.751482327)"
21715,HY105400,01/05/2015 10:11:00 PM,035XX W 77TH PL,0110,HOMICIDE,FIRST DEGREE MURDER,HOUSE,true,true,0835,008,18,70,01A,1154231,1852987,2015,08/17/2015 03:03:40 PM,41.752416738,-87.710383001,"(41.752416738, -87.710383001)"
21716,HY105478,01/06/2015 12:49:00 AM,093XX S BURNSIDE AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0633,006,9,44,01A,1182397,1842687,2015,08/17/2015 03:03:40 PM,41.723546383,-87.607485349,"(41.723546383, -87.607485349)"
21717,HY106072,01/06/2015 03:38:00 PM,022XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0414,004,7,43,01A,1192475,1853026,2015,08/17/2015 03:03:40 PM,41.751678423,-87.57023511,"(41.751678423, -87.57023511)"
21718,HY106072,01/06/2015 05:53:00 PM,022XX E 79TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0414,004,7,43,01A,1192475,1853026,2015,08/17/2015 03:03:40 PM,41.751678423,-87.57023511,"(41.751678423, -87.57023511)"
21719,HY108387,01/08/2015 09:30:00 PM,012XX S ALBANY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,true,false,1022,010,24,29,01A,1155906,1894231,2015,08/17/2015 03:03:40 PM,41.865562351,-87.703136478,"(41.865562351, -87.703136478)"
21722,HY106555,01/09/2015 04:20:00 PM,011XX W MARQUETTE RD,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0724,007,17,68,01A,1169713,1860367,2015,08/17/2015 03:03:40 PM,41.77234679,-87.653434136,"(41.77234679, -87.653434136)"
21721,HY109537,01/10/2015 12:25:00 AM,000XX S KOSTNER AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,true,false,1113,011,28,26,01A,1147063,1899538,2015,08/17/2015 03:03:40 PM,41.880298941,-87.735464135,"(41.880298941, -87.735464135)"
21724,HY113713,01/13/2015 05:40:00 PM,042XX S ROCKWELL ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0921,009,12,58,01A,1159740,1876381,2015,08/17/2015 03:03:40 PM,41.816501877,-87.689552817,"(41.816501877, -87.689552817)"
21723,HY114053,01/13/2015 10:10:00 PM,039XX S CALUMET AVE,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0213,002,3,38,01A,1179077,1879031,2015,08/17/2015 03:03:40 PM,41.823354247,-87.618539727,"(41.823354247, -87.618539727)"
21725,HY115036,01/14/2015 05:22:00 PM,081XX S ARTESIAN AVE,0110,HOMICIDE,FIRST DEGREE MURDER,GANGWAY,true,false,0835,008,18,70,01A,1161442,1850597,2015,08/17/2015 03:03:40 PM,41.7457119,-87.684023656,"(41.7457119, -87.684023656)"
21727,HY117698,01/16/2015 07:22:00 PM,024XX W 58TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,STREET,false,false,0824,008,16,63,01A,1161216,1866145,2015,08/17/2015 03:03:40 PM,41.788382525,-87.684421957,"(41.788382525, -87.684421957)"
21728,HY118469,01/17/2015 01:26:00 PM,040XX W 13TH ST,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1011,010,24,29,01A,1149839,1893741,2015,08/17/2015 03:03:40 PM,41.864337788,-87.725421626,"(41.864337788, -87.725421626)"
21729,HY118913,01/17/2015 07:10:00 PM,096XX S GREEN ST,0110,HOMICIDE,FIRST DEGREE MURDER,ALLEY,true,false,2223,022,21,73,01A,1172343,1840907,2015,08/17/2015 03:03:40 PM,41.718888535,-87.644364499,"(41.718888535, -87.644364499)"
21730,HY119535,01/18/2015 12:20:00 PM,021XX W WARREN BLVD,0110,HOMICIDE,FIRST DEGREE MURDER,AUTO,false,false,1223,012,2,28,01A,1162240,1900336,2015,08/17/2015 03:03:40 PM,41.882185074,-87.679713374,"(41.882185074, -87.679713374)"
21731,HY121768,01/20/2015 10:44:00 AM,078XX S COLES AVE,0110,HOMICIDE,FIRST DEGREE MURDER,APARTMENT,true,false,0421,004,7,43,01A,1197407,1853828,2015,08/17/2015 03:03:40 PM,41.75375771,-87.552135344,"(41.75375771, -87.552135344)"
21732,HY122767,01/21/2015 12:42:00 AM,053XX S MAY ST,0110,HOMICIDE,FIRST DEGREE MURDER,PORCH,false,false,0934,009,16,61,01A,1169557,1869451,2015,08/17/2015 03:03:40 PM,41.797277742,-87.653742794,"(41.797277742, -87.653742794)"
21733,HY122962,01/21/2015 09:25:00 AM,066XX S OAKLEY AVE,0110,HOMICIDE,FIRST DEGREE MURDER,YARD,false,false,0832,008,15,66,01A,1162217,1860532,2015,08/17/2015 03:03:40 PM,41.772958903,-87.6809078,"(41.772958903, -87.6809078)"
